iter	Logloss
0	0.6536646827
1	0.6183860285
2	0.5857045011
3	0.5514113378
4	0.5265876525
5	0.5056191153
6	0.4963170148
7	0.4848694178
8	0.4662526632
9	0.4571429893
10	0.4501222599
11	0.4445611071
12	0.4410091483
13	0.4366976972
14	0.4275865498
15	0.4226035627
16	0.4177064068
17	0.415214531
18	0.4074909589
19	0.4043993919
20	0.4016616494
21	0.3989744136
22	0.3973436616
23	0.3960938842
24	0.3945248121
25	0.392724726
26	0.3887498448
27	0.3871955523
28	0.3838231983
29	0.3820840629
30	0.3805143955
31	0.3788973995
32	0.3783393936
33	0.3763886608
34	0.3741932198
35	0.3724706813
36	0.3713392185
37	0.3707016643
38	0.3700236438
39	0.369175759
40	0.3685640857
41	0.367807519
4242	0.3685320494343	0.3679341786
44	0.3659830323
45	0.3657393483
46	0.3649984028
47	0.3639590802
48	0.3624119937
49	0.3609738116
50	0.3599231241
51	0.3591047812
52	0.3579905978
53	0.3570413058
54	0.3557407192
55	0.3554256246
56	0.3536994915
57	0.3526508842
58	0.3518216331
59	0.351406386
60	0.3506065616
61	0.3501073975
62	0.3494231239
63	0.3487961817
64	0.3480888234
65	0.3474661937
66	0.3470657615
67	0.3463424467
68	0.3453836417
69	0.3449665682
70	0.3439937347
71	0.3434355903
72	0.3418452008
73	0.3408432451
74	0.3403835534
75	0.3398849982
76	0.3390677461
77	0.3388835244
78	0.3379484892
79	0.3373966106
80	0.3368421191
81	0.3359667746
82	0.3356244602
83	0.334609719
84	0.3340385608
85	0.3328768634
86	0.3321805654
87	0.3314217356
88	0.3300009559
89	0.3293292647
90	0.3289574729
91	0.3284200033
92	0.3271421463
93	0.3263929308
94	0.3256995248
95	0.3246132208
96	0.324028161
97	0.3233349579
98	0.3227822168
99	0.321510575
100	0.3207508319
101	0.3198062075
102	0.3183476043
103	0.3177933665
104	0.3174309861
105	0.3157499825
106	0.3152535836
107	0.3146705279
108	0.3136781358
109	0.3127430498
110	0.3115369586
111	0.3104360427
112	0.3093883486
113	0.3084137902
114	0.3074392063
115	0.3062867682
116	0.3049438933
117	0.3039463008
118	0.3027413765
119	0.3013327988
120	0.3003449983
121	0.2992254877
122	0.2985274393
123	0.297075381
124	0.2964889006
125	0.2953745905
126	0.2943162926
127	0.2928553555
128	0.2920309496
129	0.2908409924
130	0.2906226509
131	0.2897786357
132	0.2885504744
133	0.2875696755
134	0.2863981353
135	0.2849567061
136	0.2844375268
137	0.2842642641
138	0.2824858224
139	0.2812139776
140	0.2805371114
141	0.2793522785
142	0.2789265037
143	0.2779964406
144	0.2768106183
145	0.2761062533
146	0.2759313671
147	0.2753561754
148	0.2743640877
149	0.2732090367
150	0.2721488109
151	0.271148707
152	0.2700934279
153	0.2692147348
154	0.2682483955
155	0.2674204635
156	0.2668686864
157	0.2658604141
158	0.2647416645
159	0.2640337227
160	0.2632837462
161	0.2623247383
162	0.2610399812
163	0.2609573326
164	0.2599550724
165	0.2590690226
166	0.2582215827
167	0.2575863198
168	0.2568081343
169	0.255851029
170	0.2551623921
171	0.2542615274
172	0.2531811341
173	0.2523113958
174	0.2514707798
175	0.250779251
176	0.2499179095
177	0.2489185666
178	0.2479176256
179	0.2471416217
180	0.2463830455
181	0.2463103918
182	0.2451959041
183	0.2445654358
184	0.2436587872
185	0.2435970925
186	0.2429654572
187	0.2428665478
188	0.2422629441
189	0.2412775029
190	0.2407162635
191	0.2402274242
192	0.2391703694
193	0.2384104741
194	0.2377199092
195	0.2369049402
196	0.2362429903
197	0.235446337
198	0.2350164272
199	0.2339900168
200	0.2331530792
201	0.2322386681
202	0.2319178149
203	0.2311309535
204	0.2304591863
205	0.2296281848
206	0.2289584977
207	0.2283448737
208	0.2273907618
209	0.2266475332
210	0.2262748788
211	0.2256207423
212	0.2248898425
213	0.2240387496
214	0.2239587646
215	0.2233989966
216	0.2227431097
217	0.2221176896
218	0.2213041665
219	0.2208695891
220	0.2204340224
221	0.2194759023
222	0.2192562925
223	0.2185619732
224	0.2176876686
225	0.2167772402
226	0.2159903281
227	0.2158274916
228	0.2152759175
229	0.2144188631
230	0.2137656652
231	0.2130338268
232	0.2124552485
233	0.2123617805
234	0.2119539281
235	0.2113028357
236	0.210944565
237	0.2104876131
238	0.2095731385
239	0.2091936348
240	0.2085611243
241	0.2080683784
242	0.2076738949
243	0.2066833801
244	0.2062694014
245	0.2057858132
246	0.2057454275
247	0.2050309661
248	0.2047661379
249	0.2039244565
250	0.2031967277
251	0.2031114409
252	0.2027235277
253	0.2026318354
254	0.2021966238
255	0.2017044105
256	0.2011255532
257	0.2003215305
258	0.1996923306
259	0.1992044045
260	0.198851017
261	0.1987295048
262	0.1984610871
263	0.1978710552
264	0.1973357799
265	0.1967399388
266	0.1965306663
267	0.1958876409
268	0.195356044
269	0.194913222
270	0.1941121292
271	0.1932148287
272	0.1927749114
273	0.1922446589
274	0.1915068464
275	0.1906356241
276	0.1898354192
277	0.1893597077
278	0.1893333124
279	0.1887662892
280	0.1887429761
281	0.188103312
282	0.1876148405
283	0.1875384831
284	0.1869696207
285	0.1866629482
286	0.1862803877
287	0.1856661548
288	0.1848739028
289	0.1841020465
290	0.1840269575
291	0.1835256245
292	0.1827830047
293	0.1821505958
294	0.1821292868
295	0.1815756325
296	0.1812488686
297	0.1810555145
298	0.1805969644
299	0.179924081
300	0.1793664947
301	0.1787397808
302	0.1781288965
303	0.1774229587
304	0.1770898909
305	0.176421764
306	0.1760161694
307	0.1754332532
308	0.1753989939
309	0.1750495131
310	0.1745123225
311	0.1744134384
312	0.1737577925
313	0.1733735196
314	0.1729913142
315	0.1722722105
316	0.1722066599
317	0.1715394588
318	0.1710806044
319	0.1702290041
320	0.1697690461
321	0.1694887436
322	0.1692784944
323	0.1687307255
324	0.1682962622
325	0.1677601371
326	0.1677300381
327	0.1672785403
328	0.1666901193
329	0.1666634703
330	0.1661468531
331	0.1656998454
332	0.1654567068
333	0.164963111
334	0.1641847352
335	0.163708009
336	0.1631876628
337	0.1630445244
338	0.1627071187
339	0.1620258005
340	0.1618349324
341	0.1617029306
342	0.1610464856
343	0.160649275
344	0.1603987417
345	0.1603371738
346	0.1598369443
347	0.1593175113
348	0.1590303213
349	0.1586180423
350	0.1581723537
351	0.1577618251
352	0.1573142593
353	0.1568769802
354	0.1564461065
355	0.1560312273
356	0.155617274
357	0.1550282061
358	0.1547053742
359	0.154385206
360	0.1539395936
361	0.1538782033
362	0.1536553209
363	0.1534888822
364	0.1531380569
365	0.1528246746
366	0.1524881567
367	0.1522401475
368	0.1522276158
369	0.151713028
370	0.1514160461
371	0.1509325593
372	0.1504051608
373	0.1498882646
374	0.1495035351
375	0.1494912951
376	0.1491394423
377	0.1486517572
378	0.1481604826
379	0.1479481914
380	0.1474771095
381	0.1474375737
382	0.1469934833
383	0.1465203974
384	0.1464960442
385	0.1461513326
386	0.145891058
387	0.1457357938
388	0.1452381391
389	0.1452071268
390	0.1451082174
391	0.1445254915
392	0.1442531925
393	0.1442358662
394	0.1439505662
395	0.1436784955
396	0.1436011615
397	0.143219121
398	0.1426601014
399	0.1426339344
400	0.1421744203
401	0.1418724028
402	0.1412847936
403	0.1410137123
404	0.1405829147
405	0.1402030177
406	0.1397500106
407	0.1394352964
408	0.1389507443
409	0.1385799037
410	0.1382942231
411	0.1376816899
412	0.1376665834
413	0.1372472267
414	0.1367970734
415	0.1363379018
416	0.1359451307
417	0.1356549727
418	0.1354312152
419	0.1350229316
420	0.1344348276
421	0.1341894947
422	0.1337903309
423	0.1335493105
424	0.1333688179
425	0.13299454
426	0.1326319567
427	0.1324054975
428	0.1321142614
429	0.1317812189
430	0.1317726065
431	0.1315875604
432	0.1311796574
433	0.1311391829
434	0.1307962977
435	0.1307748745
436	0.1303360861
437	0.1301758751
438	0.1296872514
439	0.1296542985
440	0.1294218271
441	0.128918008
442	0.1285273551
443	0.1282970146
444	0.1280919152
445	0.1277448316
446	0.12749752
447	0.1270014762
448	0.1268026046
449	0.1266526676
450	0.1262694222
451	0.1260338559
452	0.1256549737
453	0.1254359473
454	0.1251106167
455	0.12457	0.126950956
458	0.1266857985
459	0.1263023657
460	0.1259535922
461	0.1256197821
462	0.1252320212
463	0.124757348
464	0.1246908107
465	0.1243027559
466	0.1238043681
467	0.1236196974
468	0.123480811
469	0.1232315553
470	0.1227980513
471	0.122478551
472	0.1224045591
473	0.1223223334
474	0.1221678695
475	0.1218610214
476	0.1218150413
477	0.121317368
478	0.1210520001
479	0.1208203394
480	0.1206411805
481	0.1204429238
482	0.1201751944
483	0.1197846964
484	0.1197765804
485	0.1195042208
486	0.1193446518
487	0.1189900981
488	0.118883258
489	0.1185924301
490	0.1182210129
491	0.1178822759
492	0.117619135
493	0.1172472436
494	0.1170604351
495	0.1167909938
496	0.1164008331
497	0.116061234
498	0.1156830088
499	0.1153613039
500	0.1153421938
501	0.1149623906
502	0.1149393624
503	0.1146327218
504	0.1146177829
505	0.1141155855
506	0.1141059352
507	0.1140053605
508	0.1136870292
509	0.1133753762
510	0.1130458426
511	0.1128063037
512	0.1126137942
513	0.1125290514
514	0.1121528566
515	0.1121424835
516	0.1118268144
517	0.1114462678
518	0.1111600304
519	0.1107980048
