iter	Passed	Remaining
0	7	3852
1	14	3625
2	22	3678
3	29	3607
4	36	3605
5	43	3579
6	50	3583
7	57	3560
8	64	3510
9	72	3528
10	78	3488
11	86	3527
12	93	3502
13	101	3526
14	108	3502
15	115	3486
16	122	3476
17	129	3464
18	138	3493
19	145	3488
20	152	3482
21	159	3470
22	168	3486
23	174	3464
24	182	3464
25	189	3446
26	195	3426
27	203	3423
28	210	3412
29	218	3427
30	226	3430
31	235	3443
32	243	3442
33	251	3450
34	259	3448
35	267	3450
36	275	3441
37	283	3444
38	290	3434
39	298	3437
40	306	3430
41	314	3426
42	320	3409
43	327	3392
44	334	3382
45	340	3363
46	348	3363
47	356	3355
48	364	3350
49	370	3337
50	378	3329
51	384	3314
52	391	3298
53	398	3291
54	404	3274
55	412	3270
56	419	3257
57	426	3248
58	432	3236
59	439	3221
60	447	3221
61	455	3216
62	464	3223
63	471	3210
64	479	3207
65	486	3196
66	494	3193
67	501	3183
68	507	3172
69	514	3162
70	521	3152
71	529	3145
72	535	3132
73	543	3126
74	550	3116
75	556	3105
76	563	3097
77	570	3086
78	577	3079
79	584	3069
80	592	3062
81	598	3052
82	605	3042
83	612	3034
84	619	3024
85	627	3020
86	634	3010
87	642	3006
88	649	2997
89	656	2992
90	663	2981
91	669	2970
92	677	2964
93	683	2953
94	691	2948
95	697	2936
96	705	2931
97	712	2922
98	718	2912
99	726	2904
100	732	2894
101	741	2891
102	747	2881
103	754	2874
104	761	2864
105	768	2854
106	775	2847
107	781	2837
108	789	2831
109	796	2822
110	803	2816
111	810	2807
112	818	2802
113	826	2799
114	834	2794
115	843	2791
116	851	2786
117	859	2782
118	867	2776
119	875	2771
120	883	2767
121	891	2761
122	898	2754
123	907	2752
124	915	2745
125	922	2738
126	929	2729
127	937	2723
128	943	2714
129	951	2707
130	959	2701
131	967	2697
132	974	2688
133	981	2680
134	988	2673
135	995	2663
136	1003	2658
137	1010	2650
138	1018	2646
139	1026	2638
140	1034	2634
141	1041	2626
142	1049	2618
143	1055	2609
144	1062	2600
145	1069	2592
146	1076	2583
147	1083	2577
148	1090	2568
149	1097	2561
150	1104	2553
151	1111	2543
152	1118	2535
153	1127	2534
154	1134	2526
155	1141	2517
156	1149	2510
157	1155	2501
158	1163	2494
159	1170	2487
160	1177	2478
161	1184	2471
162	1191	2462
163	1198	2455
164	1205	2446
165	1212	2439
166	1218	2430
167	1225	2421
168	1232	2414
169	1239	2406
170	1247	2399
171	1253	2390
172	1261	2383
173	1267	2375
174	1274	2366
175	1281	2359
176	1288	2350
177	1295	2343
178	1301	2334
179	1308	2327
180	1315	2319
181	1322	2310
182	1330	2304
183	1337	2296
184	1344	2289
185	1351	2281
186	1357	2272
187	1364	2264
188	1371	2256
189	1378	2249
190	1385	2241
191	1392	2234
192	1400	2227
193	1408	2221
194	1416	2215
195	1424	2209
196	1432	2203
197	1440	2197
198	1449	2192
199	1458	2187
200	1466	2180
201	1474	2174
202	1481	2167
203	1489	2161
204	1496	2154
205	1503	2145
206	1510	2137
207	1517	2129
208	1526	2125
209	1533	2117
210	1540	2110
211	1547	2101
212	1554	2093
213	1560	2085
214	1567	2077
215	1574	2070
216	1580	2061
217	1587	2053
218	1594	2045
219	1600	2037
220	1608	2030
221	1614	2021
222	1622	2014
223	1628	2007
224	1635	1998
225	1642	1991
226	1649	1983
227	1656	1976
228	1664	1969
229	1671	1962
230	1678	1954
231	1685	1946
232	1692	1939
233	1698	1931
234	1707	1924
235	1713	1917
236	1721	1910
237	1727	1901
238	1734	1894
239	1741	1886
240	1747	1878
241	1754	1870
242	1761	1862
243	1768	1855
244	1775	1847
245	1781	1839
246	1789	1832
247	1795	1824
248	1804	1818
249	1811	1811
250	1818	1804
251	1825	1796
252	1831	1788
253	1838	1780
254	1845	1773
255	1853	1766
256	1859	1758
257	1867	1751
258	1874	1744
259	1881	1736
260	1888	1729
261	1895	1721
262	1902	1714
263	1909	1707
264	1917	1700
265	1924	1692
266	1931	1685
267	1939	1678
268	1948	1673
269	1955	1665
270	1961	1657
271	1969	1651
272	1976	1643
273	1983	1636
274	1990	1628
275	1997	1620
276	2003	1612
277	2012	1606
278	2020	1600
279	2028	1593
280	2036	1586
281	2043	1580
282	2052	1573
283	2059	1566
284	2067	1559
285	2074	1552
286	2082	1545
287	2090	1538
288	2098	1532
289	2106	1525
290	2113	1518
291	2121	1511
292	2129	1504
293	2135	1496
294	2142	1488
295	2149	1481
296	2155	1473
297	2163	1466
298	2169	1458
299	2177	1451
300	2184	1443
301	2190	1436
302	2197	1428
303	2204	1421
304	2212	1414
305	2218	1406
306	2225	1399
307	2232	1391
308	2238	1383
309	2246	1376
310	2252	1369
311	2260	1362
312	2267	1354
313	2276	1348
314	2285	1342
315	2295	1336
316	2304	1330
317	2312	1323
318	2319	1315
319	2326	1308
320	2333	1301
321	2340	1294
322	2347	1286
323	2353	1278
324	2360	1271
325	2367	1263
326	2374	1256
327	2381	1248
328	2388	1241
329	2395	1233
330	2401	1225
331	2408	1218
332	2415	1211
333	2422	1204
334	2430	1197
335	2439	1190
336	2446	1183
337	2453	1175
338	2460	1168
339	2467	1160
340	2474	1153
341	2481	1146
342	2489	1139
343	2495	1131
344	2503	1124
345	2511	1117
346	2517	1110
347	2524	1102
348	2531	1095
349	2539	1088
350	2545	1080
351	2553	1073
352	2559	1066
353	2566	1058
354	2573	1051
355	2580	1043
356	2588	1036
357	2594	1029
358	2603	1022
359	2609	1014
360	2618	1008
361	2626	1001
362	2634	994
363	2642	987
364	2649	980
365	2657	972
366	2664	965
367	2672	958
368	2680	951
369	2688	944
370	2696	937
371	2704	930
372	2711	923
373	2719	916
374	2725	908
375	2732	901
376	2739	893
377	2746	886
378	2753	878
379	2759	871
380	2767	864
381	2773	856
382	2781	849
383	2787	842
384	2794	834
385	2801	827
386	2808	820
387	2816	813
388	2823	805
389	2831	798
390	2838	791
391	2844	783
392	2851	776
393	2858	768
394	2866	762
395	2873	754
396	2880	747
397	2887	740
398	2894	732
399	2901	725
400	2907	717
401	2915	710
402	2922	703
403	2931	696
404	2937	689
405	2945	682
406	2952	674
407	2959	667
408	2966	660
409	2973	652
410	2981	645
411	2988	638
412	2995	631
413	3002	623
414	3008	616
415	3015	608
416	3022	601
417	3029	594
418	3037	587
419	3044	579
420	3050	572
421	3057	565
422	3063	557
423	3070	550
424	3077	543
425	3085	535
426	3092	528
427	3100	521
428	3108	514
429	3114	507
430	3121	499
431	3129	492
432	3136	485
433	3144	478
434	3151	470
435	3159	463
436	3166	456
437	3173	449
438	3179	441
439	3186	434
440	3194	427
441	3200	419
442	3208	412
443	3215	405
444	3225	398
