Variable 03,Variable 04,Variable 05,Variable 06,Variable 07,Variable 08,Variable 09,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20,Variable 21,Variable 22,Variable 23,Variable 24,Variable 25,Variable 26,Variable 27,Variable 28,Variable 29,Variable 30,Variable 31,Variable 32,Variable 33,Variable 34,Variable 35,Variable 36,Variable 37,Variable 38,Variable 39,Variable 40,Variable 41,Variable 42,Variable 43,Variable 44,Variable 45,Variable 46,Variable 47,Variable 48,Variable 49,Variable 50,Variable 51,Variable 52,Variable 53,Variable 54,Variable 55,Variable 56,Variable 57,Variable 58,Variable 59,Variable 60,Variable 61,Variable 62,Variable 63,Variable 64,Variable 65,Variable 66,Variable 67,Variable 68,Variable 69,Variable 70,Variable 71,Variable 72,Variable 73,Variable 74,Variable 75,Variable 76,Variable 77,Variable 78,Variable 79,Variable 80,Variable 81,Variable 82,Variable 83,Variable 84,Variable 85,Variable 86,Variable 87,Variable 88,Variable 89,Variable 90,Variable 93,Variable 94,Variable 95,Variable 97,Variable 98,Variable 99,Variable 100,Variable 01_DERECHA,Variable 01_IZQUIERDA,Variable 91_A,Variable 91_B,Variable 91_FDS,Variable 91_N,Variable 92_A,Variable 92_B,Variable 92_FDS,Variable 92_N,Variable 96_AM,Variable 96_AO,Variable 96_AR,Variable 96_AZ,Variable 96_BO,Variable 96_BR,Variable 96_CA,Variable 96_CI,Variable 96_GB,Variable 96_HU,Variable 96_PR,Variable 96_RE,Variable 96_VD,Variable 96_VE,Variable 96_VR,Variable 101_AM,Variable 101_AR,Variable 101_AZ,Variable 101_BR,Variable 101_CA,Variable 101_GB,Variable 101_PR,Variable 101_VB,Variable 101_VD,Variable 101_VE,Variable 101_VR,Variable de Salida
0.2,0.1875,0.2404,0.12244897959183673,0.7057861510094372,0.9737827715355806,0.9802555168408829,0.9823373756740353,0.9741972491859375,0.2978723404255319,0.36,0.33126293995859213,0.9353448315674365,0.9308295809797283,0.926829268292683,0.9596629139072849,0.9584434307177103,0.9551703526598924,0.6415094339622641,0.6363636363636364,0.6444444444444444,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9289685034608707,0.9258955995302394,0.9213893967093235,0.928659286592866,0.9260014371623683,0.9250914129110842,0.74,0.85,0.795,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9192200557103064,0.903018700955898,0.8903095558546434,0.976027397260274,0.9683186354378819,0.9613012338754907,1.0,1.0,1.0,1.0,1.0,1.0,0.895774647887324,0.8957290362953695,0.8958724202626642,0.27,0.28,0.2775,0.7457627118644068,0.7851456178551987,0.652450218895636,0.0642945121423259,0.8326848249027237,0.8339808210207591,0.8037037037037037,0.046848205162073206,0.7222222222222222,0.7172455814998879,0.6923077272727273,0.05525789639955376,0.7439024390243902,0.7454545454545455,0.7469879518072289,0.10603115819873188,0.8000000384615386,0.8092307846153847,0.7830882720588236,0.0589135613072769,0.6925925925925925,0.6859021256391526,0.6810035842293907,0.0552482943442712,0.8622047244094488,0.8569579288025891,0.8345864661654134,0.08813560695953919,0.7011070110701106,0.7037263286499694,0.6989247311827957,0.028867513459481294,0.6,0.61,0.11837666203611823,0.0031847133757961785,0.056818181818181816,0.0,0.0012225513706681714,0.11111189313213497,0.0034251395861680666,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.188125,0.18,0.11224489795918367,0.6511335090622997,0.7977528464419477,0.9895470963995355,0.9898665722340433,0.9799311938112848,0.5957446808510638,0.62,0.6086956521739131,0.9710590535062158,0.966915825874602,0.9628049390243903,0.9867550270921133,0.9850468413998698,0.980872683801554,0.6415094339622641,0.6363636363636364,0.6388888888888888,1.0,1.0,1.0,0.9660284146986773,0.9613101436918104,0.9549055453991468,0.9864699261992621,0.9836917847314239,0.9817295980511571,0.6,0.63,0.6166666666666667,1.0,1.0,1.0,0.9192200557103064,0.9052042083703835,0.8950201884253028,0.9600456621004566,0.9550803462321792,0.9506449803701625,0.95,1.0,0.98,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8929577464788732,0.8938517013454321,0.8939962476547842,0.43,0.44,0.4325,0.7627118644067796,0.881836327345309,0.6185567010309276,0.10211958858143023,0.8443579766536965,0.8539238406538642,0.8222222222222222,0.0830987935367139,0.6296296296296297,0.630347343415472,0.6118881118881119,0.05525789639955376,0.5975609756097561,0.5987878787878788,0.6024096385542169,0.07692307692307694,0.8615384615384615,0.8692307692307693,0.8345588235294118,0.06852584779033342,0.6518518518518519,0.6515704967129291,0.6451612903225806,0.18389911791400737,0.8543307086614174,0.8553398155339806,0.849624060150376,0.035658308407942534,0.6383764206642066,0.6368356933414783,0.6272401433691757,0.03535533905932738,0.47,0.48,0.9257789243897597,0.5503184713375796,0.14772727272727273,0.0,0.001175530164104011,0.023120451570220017,0.0033782198658096,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.3,0.171875,0.2,0.11224489795918367,0.5749150450426096,0.8764044943820224,0.9814169570267132,0.984006935988947,0.9787843475467689,0.5531914893617021,0.66,0.6314699792960663,0.9519703847308876,0.9471878272174765,0.9426829268292682,0.9765201685731487,0.9771799366180646,0.9742976688583382,0.41509433962264153,0.6545454545454545,0.5148148148148148,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9487337276878487,0.9481064590777233,0.9451553930530164,0.9501845018450185,0.9488329528080726,0.9500609013398296,0.74,0.94,0.8366666666666667,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.8997214484679665,0.8851249879097801,0.8741588829071333,0.9663242009132421,0.9586445038470244,0.9512058328659562,1.0,1.0,1.0,1.0,1.0,1.0,0.8723004694835681,0.8729662077596999,0.873358348968105,0.38,0.38,0.38,0.7288135593220338,0.8754003620665645,0.6185567010309276,0.029078577990378104,0.8638132295719845,0.8648018746728536,0.8259259629629631,0.05224966934127338,0.5518518888888889,0.5528336402848845,0.5314685314685315,0.04511788347949415,0.7195121951219512,0.7175757575757576,0.7228915662650602,0.07022063004347913,0.8000000384615386,0.8057692403846153,0.7757352941176471,0.02608735575404766,0.5592592592592592,0.5533235938641344,0.5448028673835126,0.12576494846273123,0.8188976771653544,0.815534006472492,0.8045112781954886,0.04711064020977225,0.5571955719557196,0.5607819364691509,0.5519713620071685,0.03651483716701108,0.62,0.63,0.19507838856916054,0.01337579617834395,0.022727272727272728,0.0,0.0016927634363097758,0.06186568319702707,0.0038004973490357997,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,0.1875,0.16,0.11224489795918367,0.6939882490647108,0.9662921722846443,0.9843205574912892,0.9853993165280953,0.9759173752340954,0.48936170212765956,0.54,0.5175983436853002,0.9538177368338832,0.9496385194895506,0.9457317073170731,0.9656833835039134,0.9634878937846758,0.9593544530783024,0.3584905660377358,0.38181818181818183,0.37037037037037035,1.0,1.0,1.0,0.9524397188116294,0.9479017303183036,0.9414990859232176,0.970479704797048,0.9667720110080521,0.9646772838002438,0.62,0.65,0.635,1.0,1.0,1.0,0.9220056406685238,0.9054774087491133,0.895693135935397,0.9628995433789954,0.9563249717130572,0.9512058328659562,0.81,0.92,0.89,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9014084507042254,0.9011264080100128,0.9005628517823641,0.27,0.27,0.27,0.7627118644067796,0.8724550898203591,0.6270300804971047,0.04334735124349735,0.8715953307392996,0.8741258605419446,0.8370370370370371,0.05667290680886446,0.7074074074074075,0.7020109625044701,0.6783216783216782,0.05824693711073586,0.7195121951219512,0.7212121212121212,0.7228915662650602,0.0910165632890991,0.8115384615384615,0.8215384692307693,0.7904411764705882,0.10787688129848759,0.674074074074074,0.6749452300949599,0.6738351612903227,0.05740377906143136,0.8661417322834646,0.8611650582524272,0.8383459022556391,0.18372087963279116,0.6900369003690037,0.7055589584605987,0.7096774551971328,0.03535533905932738,0.6,0.61,0.698055169676523,0.005732484076433121,0.09090909090909091,0.00014855162168853677,0.0034795692857478725,0.0,0.005818045324449866,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,0.1875,0.18,0.11224489795918367,0.7176723992611693,0.9325842696629213,0.9790940766550523,0.9844130701858742,0.9770642214986112,0.5531914893617021,0.7,0.6149068322981367,0.9698275264884527,0.9662418643626665,0.9621951219512196,0.9825406381697772,0.981683882035985,0.9790794979079498,0.41509433962264153,0.43636363636363634,0.42592592592592593,1.0,1.0,1.0,0.9660284146986773,0.9618219041778718,0.9555149299207801,0.984009840098401,0.9793089389460805,0.9762484774665044,0.7,0.74,0.7183333333333333,1.0,1.0,1.0,0.9331476323119777,0.9169512373043129,0.905114401076716,0.9634703196347033,0.9576827336501471,0.9517666853617497,0.77,0.86,0.81,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8892019248826292,0.8936170447434295,0.8977486397748594,0.21,0.24,0.225,0.7627118644067796,0.9256154357950767,0.6270300804971047,0.10211958858143023,0.8715953307392996,0.8772338636016493,0.8481481481481481,0.04007379671450206,0.7111111111111111,0.7056672769134618,0.6783216783216782,0.0,0.6829268292682927,0.6787878787878788,0.6746987951807228,0.0297921795862109,0.8269230769230769,0.8284615384615385,0.7941176470588236,0.0756085156281829,0.7185185185185184,0.7136596128560995,0.7096774551971328,0.07633646144287992,0.8740157480314961,0.8675728233009709,0.849624060150376,0.09640394084143213,0.7084870848708487,0.7139890042761149,0.7060931899641577,0.03872983346207417,0.56,0.57,0.577793212939075,0.041401273885350316,0.48863636363636365,4.951720722951226e-05,0.001833827056002257,0.04571303894933912,0.004128935391545067,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.14,0.11224489795918367,0.9913853983641375,0.9250936329588015,0.9883855981416957,0.9882421108669468,0.9776375586216995,0.3617021276595745,0.36,0.36024844720496896,0.9488915671864797,0.9449209482002031,0.9408536585365854,0.9735099337748344,0.9719553210190328,0.9683203825463239,0.6792452830188679,0.6727272727272727,0.6833333333333333,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9468807321259585,0.9455476054703418,0.9451553930530164,0.9526445879458796,0.9613699011313831,0.9732034104750306,0.76,0.97,0.8933333333333333,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9220056406685238,0.9091995846305205,0.8997308209959622,0.940068493150685,0.9381364562118126,0.9355019629837353,1.0,1.0,1.0,1.0,1.0,1.0,0.9061032863849765,0.9058197747183983,0.9052532833020639,0.0,0.0,0.0,0.7288135593220338,0.8361300654504943,0.6185567010309276,0.02907828720750603,0.8910505836575875,0.8912198773703205,0.8518518518518519,0.0456910879102205,0.9888888888888888,0.9813528392929357,0.9440559440559441,0.04511788347949415,0.7560975609756098,0.7612121212121212,0.7590361445783133,0.029791881664415043,0.8769231153846154,0.8792307846153846,0.8419117647058824,0.1565241345242862,0.9888888888888888,0.9824689554419284,0.9856630824372761,0.05267718177689139,0.9015748031496063,0.8919093851132687,0.868421052631579,0.05689128966036299,1.0,0.998167379352474,0.982078853046595,0.16329931618554522,0.64,0.68,0.09019646755308591,0.026114649681528664,0.011363636363636364,0.00014855162168853677,0.0012225513706681714,0.05836770315733169,0.0035189790268849996,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2,0.25,0.2,0.11224489795918367,0.8741593707511063,0.902621722846442,0.9912891986062717,0.992245199115413,0.9827981661239583,0.46808510638297873,0.5,0.49068322981366463,0.9735221075417421,0.9694890153874095,0.9652439024390245,0.9897652618904276,0.9882296422264035,0.9844590555887626,0.5283018867924528,0.5272727272727272,0.5277777777777778,1.0,1.0,1.0,0.9678813484940487,0.9635619246308914,0.9579524680073126,0.9864699261992621,0.9823667414126998,0.9792935444579782,0.59,0.64,0.62,1.0,1.0,1.0,0.9387186629526464,0.9228247381119418,0.9118438761776582,0.9554795091324202,0.9532699932111337,0.9500841839596186,0.54,0.66,0.598,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8863849765258216,0.8861076345431793,0.8855534709193247,0.21,0.21,0.21,0.7627118644067796,0.8224218230206254,0.652450218895636,0.09496928833665247,0.933852140077821,0.9370629225009648,0.9037037037037037,0.08014769361293238,0.8481481481481481,0.8482632609847965,0.8181818181818181,0.05525789639955376,0.6951219512195121,0.6981818181818182,0.6987951807228916,0.04550824101290615,0.9692307692307692,0.9738461692307693,0.9338235294117647,0.5061887821768993,0.8740740740740741,0.8838568371073777,0.9390681003584229,0.0790159921536189,0.9803149606299213,0.9728155436893204,0.9511278571428572,0.06360639550410127,0.8560885608856088,0.8585827733659134,0.845878136200717,0.4123105625617661,0.53,0.64,0.3553284381821789,0.029936305732484077,0.011363636363636364,0.0,0.0014576574034889736,0.04560746611111893,0.0035658987472434664,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2,0.1875,0.24,0.11224489795918367,0.6071704548757156,0.8651685393258428,0.9825783972125436,0.9830206780435545,0.9736237973839565,0.7021276595744681,0.7,0.7080745341614908,0.951354621222006,0.946575157212808,0.9420731707317073,0.9765201685731487,0.9752582335424185,0.9713090257023311,0.6792452830188679,0.6727272727272727,0.6703703703703704,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.947498459079774,0.9442170015945033,0.9396709323583181,0.9501845018450185,0.9482213841606358,0.9518879415347139,0.84,0.95,0.905,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9220056406685238,0.9049310421399938,0.8930013458950201,0.9777397260273973,0.969534976804707,0.9618620302860347,1.0,1.0,1.0,1.0,1.0,1.0,0.8798122535211268,0.8814142834793496,0.8827392120075047,0.37,0.38,0.3766666666666667,0.7288135593220338,0.8164949171424594,0.6270300804971047,0.0668025789528305,0.8093385603112841,0.8129370600165181,0.7814814814814816,0.08656917143132185,0.5888889259259259,0.588665451657537,0.5734265734265733,0.05824693711073586,0.7317073170731707,0.7333333333333333,0.7349397590361446,0.08937640634934411,0.8346153846153845,0.8415384769230769,0.8125000000000001,0.06701949331918094,0.6037037407407408,0.601899203798393,0.5985663082437276,0.04561977761855866,0.84251968503937,0.8368932038834952,0.8120300751879699,0.030409825505813476,0.6125461254612546,0.6120953054367746,0.6021505734767026,0.03535533905932738,0.56,0.57,0.9993054177416152,0.7866242038216561,0.13636363636363635,0.0,0.001833827056002257,0.05258934981208035,0.003988176230469666,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.16,0.1326530612244898,0.6347899146642937,0.8426966292134832,0.986062717770035,0.9869077403820107,0.9776375586216995,0.6170212765957447,0.66,0.639751552795031,0.9655171819262819,0.9617081247082198,0.9585365853658536,0.9765201685731487,0.9759788556812532,0.9725044829647339,0.37735849056603776,0.43636363636363634,0.40370370370370373,1.0,1.0,1.0,0.9512043884370359,0.9465711264424652,0.9402803168799514,0.9723247232472325,0.9689124554071957,0.967113276492083,0.74,0.75,0.7466666666666667,1.0,1.0,1.0,0.9066852367688022,0.8900423727627049,0.8775236204576043,0.940068493150685,0.934826883910387,0.9293325855300055,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8779342723004695,0.8776595744680854,0.877110694183865,0.34,0.35,0.3475,0.7627118644067796,0.8521290751829672,0.6185567010309276,0.02374232208416306,0.8015564202334631,0.803418790933663,0.7666666666666666,0.01792154671384761,0.6296296296296297,0.6223034678034418,0.5979020979020979,0.05525789639955376,0.7195121951219512,0.72,0.7228915662650602,0.024324969518398246,0.8576923461538463,0.8584615692307692,0.8235294117647058,0.024748886180553955,0.637037037037037,0.6303871658144632,0.6200717204301076,0.020401784774704085,0.8464566929133859,0.8357281553398058,0.8120300751879699,0.061198128659390845,0.6199262361623616,0.6260232205253513,0.6164874551971327,0.03872983346207417,0.56,0.57,0.8044254812462791,0.0044585987261146496,0.011363636363636364,4.951720722951226e-05,0.8240936662434758,0.0,0.8246140853000516,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.15,0.1875,0.14,0.11224489795918367,0.6671262563943439,0.8801498127340824,0.9849012775842044,0.9862115443108509,0.9764907696966302,0.574468085106383,0.62,0.5942028985507246,0.9642856549085187,0.9611567155773181,0.9579268292682926,0.9723058398555088,0.9718952681732492,0.9689181111775254,0.5094339622641509,0.5818181818181818,0.5462962962962963,1.0,1.0,1.0,0.9586163706845972,0.9539406453025524,0.9475929311395491,0.9803198646986471,0.9752319029660582,0.9713763702801462,0.89,0.9,0.8966666666666667,1.0,1.0,1.0,0.9240947075208913,0.9080726552646816,0.895693135935397,0.9486301369863014,0.9461416610092782,0.9411104879416713,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8779342723004695,0.8778942428035047,0.8780487804878049,0.37,0.38,0.3775,0.7627118644067796,0.7583166999334665,0.6185567010309276,0.026544723061941604,0.8521400778210116,0.8537295904626327,0.8148148148148148,0.05173520430297447,0.6666666666666666,0.6636197471332748,0.6398601748251749,0.050443327230531826,0.975609756097561,0.9727272727272728,0.9759036144578314,0.21892667168260635,0.8576923461538463,0.885384623076923,0.8529411764705882,0.03780400803669901,0.6592592962962963,0.6544923374726078,0.6451612903225806,0.026338854274354565,0.8543307086614174,0.8453074692556634,0.8195489097744361,0.08601154526117756,0.6642066420664207,0.6646304215027489,0.6594982078853047,0.0,1.0,1.0,0.7902361579678504,0.39171974522292996,0.5568181818181818,9.903441445902451e-05,0.003996802557953637,0.021382018834194338,0.006334162248393,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
