Variable 03,Variable 04,Variable 05,Variable 06,Variable 07,Variable 08,Variable 09,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20,Variable 21,Variable 22,Variable 23,Variable 24,Variable 25,Variable 26,Variable 27,Variable 28,Variable 29,Variable 30,Variable 31,Variable 32,Variable 33,Variable 34,Variable 35,Variable 36,Variable 37,Variable 38,Variable 39,Variable 40,Variable 41,Variable 42,Variable 43,Variable 44,Variable 45,Variable 46,Variable 47,Variable 48,Variable 49,Variable 50,Variable 51,Variable 52,Variable 53,Variable 54,Variable 55,Variable 56,Variable 57,Variable 58,Variable 59,Variable 60,Variable 61,Variable 62,Variable 63,Variable 64,Variable 65,Variable 66,Variable 67,Variable 68,Variable 69,Variable 70,Variable 71,Variable 72,Variable 73,Variable 74,Variable 75,Variable 76,Variable 77,Variable 78,Variable 79,Variable 80,Variable 81,Variable 82,Variable 83,Variable 84,Variable 85,Variable 86,Variable 87,Variable 88,Variable 89,Variable 90,Variable 93,Variable 94,Variable 95,Variable 97,Variable 98,Variable 99,Variable 100,Variable 01_DERECHA,Variable 01_IZQUIERDA,Variable 91_A,Variable 91_B,Variable 91_FDS,Variable 91_N,Variable 92_A,Variable 92_B,Variable 92_FDS,Variable 92_N,Variable 96_AM,Variable 96_AO,Variable 96_AR,Variable 96_AZ,Variable 96_BO,Variable 96_BR,Variable 96_CA,Variable 96_CI,Variable 96_GB,Variable 96_HU,Variable 96_PR,Variable 96_RE,Variable 96_VD,Variable 96_VE,Variable 96_VR,Variable 101_AM,Variable 101_AR,Variable 101_AZ,Variable 101_BR,Variable 101_CA,Variable 101_GB,Variable 101_PR,Variable 101_VB,Variable 101_VD,Variable 101_VE,Variable 101_VR,Variable de Salida
0.15,0.21875,0.12,0.11224489795918367,0.5891647733303444,0.8951310861423221,0.9849012775842044,0.9854573381854789,0.9753439807715607,0.6808510638297872,0.68,0.6811594202898551,0.9519703847308876,0.949515991615317,0.947561036585366,0.958458759783263,0.9589238474786951,0.9593544530783024,0.1320754716981132,0.21818181818181817,0.17407407407407408,1.0,1.0,1.0,0.9530573839989263,0.9495394068624419,0.9445460085313834,0.9698646986469864,0.9663643053715215,0.9646772838002438,0.72,0.79,0.7583333333333333,1.0,1.0,1.0,0.9192200557103064,0.9075263091445662,0.9010767833109018,0.9058219178082192,0.9028060647205252,0.9012899607403252,0.5,0.83,0.672,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.9032864319248827,0.9030038016270341,0.9024390712945591,0.38,0.38,0.38,0.7627118644067796,0.8740186294078507,0.6100833215647506,0.02374232208416306,0.7743190661478598,0.7738927618664684,0.7407407407407407,0.035843250241334015,0.5814814814814815,0.5762340057017001,0.5559440909090909,0.08440783099832763,0.7682926829268293,0.7733333333333333,0.7831325301204819,0.1127913715278091,0.7961538461538461,0.8099999999999999,0.7794117647058824,0.1261939048874456,0.5666666666666667,0.5756026442658875,0.5734767025089607,0.06842966642783799,0.84251968503937,0.8339805825242719,0.8157894736842105,0.09122902037176847,0.5793357933579335,0.582773365913256,0.5806451612903226,0.03535533905932738,0.6,0.61,0.05368128596943838,0.0006369426751592356,0.011363636363636364,0.0,0.002351060328208022,0.0,0.004598132595129733,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.2,0.12244897959183673,0.598303956179829,0.8838951310861424,0.9837398954703834,0.9843550543300763,0.9741972491859375,0.6808510638297872,0.7,0.6956521739130436,0.9716748170150975,0.9675284836258704,0.9646341463414634,0.992173389524383,0.9902714329777632,0.9874476987447698,0.5660377358490566,0.6,0.587037037037037,1.0,1.0,1.0,0.970352009243236,0.9661061459822442,0.9603900060938452,0.9920049200492006,0.9875795564745107,0.9847746650426309,0.65,0.7,0.68,1.0,1.0,1.0,0.9282729805013928,0.9121021593757388,0.9004037685060566,0.976027397260274,0.967979180810138,0.9607403252944475,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8704225821596244,0.8710888728097624,0.8714821763602253,0.5,0.51,0.505,0.7796610169491526,0.7295951575110644,0.6355034599632818,0.061302105509444066,0.8287938132295721,0.8313908378960243,0.7962962962962963,0.06843890011116073,0.6037037407407408,0.6023766032689525,0.5839160839160839,0.0,0.7439024390243902,0.7393939393939394,0.7349397590361446,0.5812658421841331,0.7192307692307692,0.7507692461538462,0.7830882720588236,0.05151826099954517,0.5888889259259259,0.5858290796201607,0.5806451612903226,0.058894702973658924,0.8385827165354331,0.8330097184466019,0.8120300751879699,0.03724427782792545,0.5940959409594097,0.5956017379352475,0.5842294265232976,0.03535533905932738,0.59,0.6,0.9871006152014288,0.7490445859872611,0.07954545454545454,0.0,0.0011285089575398504,0.029490012809504373,0.0034251395861680666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.2,0.12244897959183673,0.7316467770245225,0.9550561797752809,0.9692218931475031,0.9776199329775633,0.9741972491859375,0.5319148936170213,0.8,0.6644080557124036,0.9729063440328606,0.9692439585249965,0.9658537195121952,0.9873570138470801,0.9871050151134942,0.9832635983263598,0.49056603773584906,0.509090909090909,0.4983164983164983,1.0,1.0,1.0,0.9678813484940487,0.9668080205181223,0.9640463132236441,0.9907749077490775,0.9885405769034755,0.9878197320341048,0.61,0.77,0.6942857142857143,1.0,1.0,1.0,0.9220056406685238,0.905887175168868,0.8930013458950201,0.9703196347031964,0.9620954967187147,0.9540100953449242,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8845070892018779,0.8846996479974971,0.8846153846153846,0.22,0.22,0.22,0.8307909604519775,0.9922094586337528,0.6864849597514474,0.11345087522719186,0.840466926070039,0.84628333313209,0.8185185185185185,0.0840595051470428,0.725925925925926,0.7312614192754897,0.7062937062937062,0.04118680421434771,0.7317073170731707,0.7373737373737373,0.7349397590361446,0.05439282932258606,0.8346153846153845,0.8384615461538462,0.8051470588235293,0.020207380948191713,0.7296296296296296,0.7202337545653763,0.7096774551971328,0.02498698127005388,0.8700787401574804,0.8598058252427184,0.8345864661654134,0.0456145101863404,0.7232472324723247,0.7257177910812461,0.7132616487455197,0.0,0.58,0.58,0.561619368922405,0.02038216560509554,0.36363636363636365,9.903441445902451e-05,0.0031974420463629096,0.0470151039540547,0.005724205883732933,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2,0.1875,0.2,0.11224489795918367,0.6021830448252745,0.8614232209737828,0.9854819976771196,0.9875353701502876,0.9770642214986112,0.6808510638297872,0.72,0.6888763410502542,0.9722906421003299,0.9678348308816046,0.9640243902439024,0.9903672486453944,0.9884097887531853,0.9844590555887626,0.4528301886792453,0.45454545454545453,0.45185185185185184,1.0,1.0,1.0,0.9684990136813457,0.9636496640655834,0.9567336989640464,0.9895449569495696,0.9839976149220261,0.9799026187576128,0.7,0.72,0.7085714285714286,1.0,1.0,1.0,0.9324513231197773,0.9151755270430879,0.9024226110363391,0.9714611872146118,0.962887531115637,0.9545709478407177,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8788732394366197,0.8793022880162706,0.8789869136960601,0.38,0.38,0.38,0.7966101694915254,0.965568862275449,0.652450218895636,0.0530894461244141,0.9027237354085603,0.9052058989089993,0.8666666666666666,0.04007399708318507,0.5814814814814815,0.5776965358528653,0.5559440909090909,0.11502848413697311,0.6097560975609756,0.6254545454545455,0.6385542168674698,0.07091938502029477,0.8769231153846154,0.8838461615384615,0.849264705882353,0.0869143509671157,0.5925925925925926,0.5960555222790358,0.5913978494623656,0.04367761174182394,0.9409448818897638,0.933009708737864,0.9060150375939849,0.030409673457256155,0.5904059040590406,0.59010384850336,0.5806451612903226,0.03535533905932738,0.47,0.48,0.6422901369319306,0.001910828025477707,0.022727272727272728,0.0,0.8992335543330042,0.0,0.8996387181532398,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.22,0.10204081632653061,0.5916037014696709,0.8951310861423221,0.9814169570267132,0.9821029658317875,0.9719036139963524,0.9574468085106383,0.98,0.9768492377188029,0.9735221075417421,0.9689097637466316,0.9646341463414634,0.9903672486453944,0.9893433484563398,0.9856545726240287,0.5094339622641509,0.509090909090909,0.5084175084175083,1.0,1.0,1.0,0.9722050665716451,0.9667203234872902,0.9597806215722121,0.9920049200492006,0.9870553635132577,0.9841656516443362,0.64,0.66,0.6528571428571429,1.0,1.0,1.0,0.9366295264623956,0.9191367174001268,0.9064602960969044,0.9805936073059363,0.9719393527947501,0.9635445877734156,0.83,1.0,0.878,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8741784037558685,0.874374241239049,0.8742964821763604,0.49,0.5,0.4925,0.8305084745762712,0.9520041549553951,0.6778703572941673,0.11008861860285557,0.8171206225680934,0.821289808526965,0.7962962962962963,0.0456910879102205,0.5851851851851853,0.5828153657877937,0.5629370629370629,0.05525789639955376,0.7926829268292683,0.7927272727272728,0.7951807228915663,0.0297921795862109,0.8038461538461538,0.8061538461538462,0.7720588235294118,0.07144316606119927,0.5888889259259259,0.5880204674945215,0.5842294265232976,0.06451610822061024,0.84251968503937,0.8349514563106796,0.8157894736842105,0.06119837798599844,0.5904059040590406,0.5945021527183874,0.5878136200716846,0.0,0.65,0.65,0.44810478269497905,0.19745222929936307,0.011363636363636364,4.951720722951226e-05,0.0014576574034889736,0.04050477893047676,0.0039412565101111996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.3396,0.10204081632653061,0.650545763305395,0.8876404494382022,0.986062717770035,0.9873718904347358,0.9770642214986112,0.44680851063829785,0.48,0.453416149068323,0.9427339320976642,0.9420414053049613,0.9420731707317073,0.9373871161950632,0.9382656685291176,0.9378362821279139,0.05660377358490566,0.16363636363636364,0.11481481481481481,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9468807321259585,0.9461617201006987,0.9433272394881171,0.9489544895448956,0.946590571807155,0.9451887941534713,0.16,0.31,0.235,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.931058495821727,0.9160292355411932,0.9044415208613729,0.9691780821917809,0.9634532699705817,0.9573752103196858,0.72,0.84,0.7725,1.0,1.0,1.0,0.8985915962441315,0.8986233103879853,0.8986866791744841,0.29,0.3,0.2933333333333333,0.7288135593220338,0.7837696699624007,0.6692557548368873,0.06922014861387014,0.8443579766536965,0.8477078423044624,0.8148148148148148,0.02194932242518969,0.6481481481481481,0.6413162647046045,0.6153846153846154,0.0,0.6707317073170732,0.6666666666666666,0.6626506024096386,0.11279142398929336,0.8615384615384615,0.8753846307692308,0.8419117647058824,0.14145045420660973,0.6518518518518519,0.647918195763331,0.6559140143369177,0.02498698127005388,0.8503937007874017,0.8403883495145631,0.8157894736842105,0.08734521652277916,0.6346863468634686,0.6450824752596213,0.6379928673835127,0.0316227766016838,0.55,0.56,0.7523318118674341,0.1197452229299363,0.07954545454545454,4.951720722951226e-05,0.0022099967085155406,0.16598161624977129,0.004410453713695866,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.1875,0.12,0.12244897959183673,0.6482747575993518,0.902621722846442,0.9849012775842044,0.9862695601666487,0.9770642214986112,0.5531914893617021,0.6,0.5838509316770186,0.9685959994706898,0.9654454178633977,0.9628049390243903,0.9789283564118001,0.9774801768258446,0.975493126120741,0.37735849056603776,0.41818181818181815,0.39629629629629626,1.0,1.0,1.0,0.9610870314337843,0.956192424779431,0.9500305301645339,0.9809348093480935,0.9779693347117664,0.9774665042630939,0.56,0.67,0.6371428571428571,1.0,1.0,1.0,0.9045961699164347,0.8905887222976543,0.8802153432032302,0.9172374429223744,0.9162140897261825,0.9141895681435782,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8845070892018779,0.8891583346370466,0.8939962476547842,0.25,0.3,0.2775,0.7796610169491526,0.6684131736526945,0.6100833215647506,0.02907828720750603,0.8560311284046693,0.8562548429486426,0.8185185185185185,0.02194932242518969,0.6481481481481481,0.6420475261238799,0.6153846153846154,0.0,0.8536585365853658,0.8484848484848485,0.8433734939759037,0.0297921795862109,0.8846153846153846,0.8869230769230769,0.849264705882353,0.12538233714003982,0.6333333333333334,0.6420745142439738,0.6379928673835127,0.061205354324112386,0.8503937007874017,0.8481553398058252,0.8233082706766917,0.031160642672541202,0.6457564575645756,0.6458155161881491,0.6344086021505376,0.0,0.72,0.72,0.3225838460011906,0.24522292993630573,0.022727272727272728,0.0,0.0017397846428739362,0.01912979828549711,0.003988176230469666,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.15,0.15625,0.16,0.11224489795918367,0.9147974880146944,0.9363295880149813,0.9883855981416957,0.9894024047765615,0.9793577420093038,0.46808510638297873,0.5,0.484472049689441,0.9692118245559221,0.9654454178633977,0.9628049390243903,0.9885611077664057,0.987989430843269,0.9856545726240287,0.5094339622641509,0.6,0.5888888888888889,1.0,1.0,1.0,0.9697343440559392,0.9653019450839104,0.9591712979890311,0.9920049200492006,0.9869534705942309,0.9829476857490866,0.6,0.64,0.6216666666666667,1.0,1.0,1.0,0.9338440111420613,0.9173610173834035,0.9064602960969044,0.9743150684931506,0.9678660443539263,0.9618620302860347,0.73,0.82,0.79,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8816901408450705,0.881648936170213,0.8818011257035647,0.22,0.22,0.22,0.7627118644067796,0.8833998669328013,0.6185567010309276,0.11008859300110428,0.8754863813229572,0.8873348813156973,0.8518518518518519,0.0830987935367139,0.9296296296296297,0.927239479641321,0.8951048951048951,0.10088665446106365,0.8292682926829268,0.8363636363636363,0.8433734939759037,0.04865042554105196,0.8653846153846154,0.8707692307692307,0.8345588235294118,0.14072674570448696,0.8777777777777778,0.8845872972972973,0.878136200716846,0.03724820620650689,0.8976378346456694,0.8893203980582525,0.8646616541353384,0.16198682447554477,0.9003690036900368,0.9098961514966403,0.910394265232975,0.1767766952966369,0.74,0.8,0.36108354832307993,0.05031847133757962,0.1590909090909091,4.951720722951226e-05,0.001175530164104011,0.04988668515364367,0.0034251395861680666,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.2,0.1875,0.2,0.11224489795918367,0.6442667866641544,0.8726592134831461,0.9907084785133566,0.9913749612784452,0.9805045309343732,0.574468085106383,0.58,0.5734989648033126,0.9704432899973343,0.9662418643626665,0.9621951219512196,0.9849488260084287,0.9836656319521303,0.9796772863120143,0.5471698113207547,0.5636363636363636,0.5518518518518518,1.0,1.0,1.0,0.9684990136813457,0.9640883159107789,0.9573430834856794,0.9870848708487086,0.9822502438953358,0.9786845310596833,0.64,0.67,0.6514285714285714,1.0,1.0,1.0,0.9338440111420613,0.9167121852655076,0.9037685060565277,0.9783105593607307,0.9698178745191219,0.9618620302860347,1.0,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9925925925925926,0.8873239436619719,0.8870463078848563,0.8864915572232646,0.48,0.48,0.48,0.7796610169491526,0.9559684977870345,0.6439768394294589,0.11008861860285557,0.7976653696498055,0.8018647894038106,0.7777777777777778,0.08212680527905904,0.6,0.5989031096992403,0.5804195804195804,0.05525789639955376,0.7926829268292683,0.795151515151515,0.7951807228915663,0.0384617307695192,0.8500000000000001,0.8538461615384616,0.8198529779411765,0.27558899930046316,0.6407407777777778,0.6435354492330169,0.6702508960573477,0.07213120181279727,0.8503937007874017,0.8466019495145631,0.8270676691729323,0.11296692307450841,0.6088560885608856,0.6201588271227857,0.6164874551971327,0.1161895003862225,0.65,0.68,0.20093272474697357,0.0031847133757961785,0.056818181818181816,0.0,0.0011285089575398504,0.03552877915569882,0.0033782198658096,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.1,0.234375,0.36,0.12244897959183673,0.6972516180938908,0.8876404494382022,0.9947735191637632,0.9942757830762657,0.9827981661239583,0.48936170212765956,0.5,0.49689440993788825,0.9575122563108216,0.9572968884212066,0.9560975609756098,0.9789283564118001,0.9809031830302284,0.9778840406455468,0.0,0.21818181818181817,0.0962962962962963,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9814700443810968,0.9811668476850886,0.9774528336380257,0.9827798277982781,0.9801243604117823,0.9774665042630939,0.12,0.26,0.17166666666666672,0.9806451612903225,0.9806451612903225,0.9806451612903225,0.9930362116991643,0.9778377137298495,0.9656796769851952,0.9332191780821918,0.9408237157727994,0.9489624228827817,0.0,0.0,0.0,1.0,1.0,1.0,0.9455399530516433,0.9471214173967465,0.948405253283302,0.48,0.51,0.4966666666666667,0.7288135593220338,0.6381423200111402,0.6863437367603444,0.044417817402687465,0.8326848249027237,0.8360528230605622,0.8,0.1154514885984147,0.6666666666666666,0.6705667214756241,0.6538461538461537,0.05525789639955376,0.8048780487804879,0.8072727272727273,0.8072289156626506,0.0,0.8692307692307693,0.8692307692307693,0.8308823529411765,0.09585106550381331,0.7111111111111111,0.7067202337472609,0.6989247311827957,0.12903189386067937,0.858267755905512,0.8543689514563106,0.8345864661654134,0.21068413452268814,0.6752767896678967,0.6854001405009165,0.6845878136200718,0.05000000000000001,0.64,0.65,0.4962294105973406,0.019745222929936305,0.3522727272727273,0.0,0.0013636149903606526,0.04265142664095382,0.0035189790268849996,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
