,Variable 03,Variable 04,Variable 05,Variable 06,Variable 07,Variable 08,Variable 09,Variable 10,Variable 11,Variable 12,Variable 13,Variable 14,Variable 15,Variable 16,Variable 17,Variable 18,Variable 19,Variable 20,Variable 21,Variable 22,Variable 23,Variable 24,Variable 25,Variable 26,Variable 27,Variable 28,Variable 29,Variable 30,Variable 31,Variable 32,Variable 33,Variable 34,Variable 35,Variable 36,Variable 37,Variable 38,Variable 39,Variable 40,Variable 41,Variable 42,Variable 43,Variable 44,Variable 45,Variable 46,Variable 47,Variable 48,Variable 49,Variable 50,Variable 51,Variable 52,Variable 53,Variable 54,Variable 55,Variable 56,Variable 57,Variable 58,Variable 59,Variable 60,Variable 61,Variable 62,Variable 63,Variable 64,Variable 65,Variable 66,Variable 67,Variable 68,Variable 69,Variable 70,Variable 71,Variable 72,Variable 73,Variable 74,Variable 75,Variable 76,Variable 77,Variable 78,Variable 79,Variable 80,Variable 81,Variable 82,Variable 83,Variable 84,Variable 85,Variable 86,Variable 87,Variable 88,Variable 89,Variable 90,Variable 93,Variable 94,Variable 95,Variable 97,Variable 98,Variable 99,Variable 100,Variable 01_DERECHA,Variable 01_IZQUIERDA,Variable 91_A,Variable 91_B,Variable 91_N,Variable 92_0,Variable 92_A,Variable 92_B,Variable 92_N,Variable 96_AZ,Variable 96_BR,Variable 96_CI,Variable 96_PR,Variable 101_AZ,Variable 101_BR,Variable 101_CI,Variable 101_PR,Variable de Salida
1012,3.0,6.0,12.0,4.5,17.05652195652174,23.7,169.7,169.900003,170.2,27,30,28.6,157.6,157.74,157.8,163.90001,163.990002,164.1,27,28,27.5,155,155,155,156.6,156.783335,157.1,159.8,159.983335,160.3,65,71,68.16666666666667,155,155,155,136.2,136.460002,136.90001,171.5,171.92,172.6,47,59,54.2,134,134,134,93.4,93.425,93.5,35,36,35.25,45.0,10.75555555555556,78.0,0.05,22.0,22.025,22.1,0.1414213562381934,17.2,17.30000025,17.5,0.5,75,75.25,76,0.0447218067635912,22.2,22.2200002,22.300001,0.1643171932580398,16.9,17.0200002,17.300001,0.0836664807450789,21.6,21.75000066666667,21.800001,0.0516397779494322,17.1,17.13333333333333,17.2,1.549193338482967,86,89,123.3333333333333,380,1,2,153,26.2,203,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,1
748,3.0,6.0,9.5,7.5,18.53809538095238,25.6,170.1,170.1,170.1,24,24,24.0,154.90001,155.140001,155.3,161.1,161.920001,162.8,10,23,11.7,152,152,152,154.90001,155.7333366666667,156.6,155.7,156.7000016666667,157.7,59,80,69.33333333333333,152,152,152,131.6,131.9000025,132.1,171.40001,171.5000025,171.6,100,100,100.0,135,135,135,102.5,102.5,102.5,0,0,0.0,43.0,12.62790697674419,74.0,0.0547717080279591,22.800001,22.8400006,22.9,0.0707110316725756,18.6,18.7000002,18.800001,0.4472135954999579,71,71.8,72,0.0547722557505166,20.9,20.96,21.0,0.0547722557505166,18.5,18.54,18.6,0.1,22.2,22.25,22.4,0.0957427107756338,18.4,18.525,18.6,0.5,79,80,114.2333333333333,105,5,1,32,53.93,78,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,1
881,3.0,6.0,10.0,4.5,18.13809552380952,25.4,169.3,169.370005,169.5,31,33,32.1,158.3,158.46,158.7,164.8,164.930003,165.0,23,26,25.1,155,155,155,157.40001,157.483335,157.5,161.0,161.3166683333333,161.5,73,74,73.33333333333333,155,155,155,135.7,136.460002,136.90001,169.40001,171.060004,172.40001,58,82,67.0,134,134,134,94.5,94.62500125,94.8,28,29,28.5,45.0,9.133333333333333,74.0,0.05,22.4,22.475,22.5,0.0816496580927726,18.0,18.1,18.2,0.0,71,71.0,71,0.304959144805005,20.9,21.1400002,21.6,0.10000050000025,18.1,18.2000004,18.300001,0.05,22.0,22.075,22.1,0.1000005,18.1,18.25000075,18.300001,0.0,77,77,118.0166666666667,249,15,1,23,25.65,72,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,1
902,5.0,2.5,1.5,6.5,17.5857145,25.0,169.90001,170.220001,170.6,26,29,27.7,157.2,157.440001,157.6,163.2,163.410003,163.6,26,28,27.1,155,155,155,157.1,157.1833333333333,157.2,160.90001,161.2500033333333,161.5,70,72,70.66666666666667,155,155,155,135.40001,135.700002,136.0,171.7,171.880002,172.0,59,72,66.0,134,134,134,94.4,94.72500125,94.9,32,34,32.75,45.03333333333333,12.66666666666667,70.03333333333333,0.1154706311881943,22.1,22.233334,22.300001,0.0577356042692317,17.7,17.76666733333333,17.800001,0.0,73,73.0,73,0.1527525231651947,20.7,20.86666666666667,21.0,0.0,17.6,17.6,17.6,0.0,21.9,21.9,21.9,0.0707106781186547,17.6,17.65,17.7,0.0,81,81,118.9666666666667,270,1,1,35,23.97,84,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,1
85,3.0,6.0,7.0,6.5,16.40000015,24.7,170.0,170.1111111111111,170.2,39,40,39.55555555555556,154.90001,155.030004,155.3,162.40001,162.680004,162.90001,23,26,25.0,152,152,152,154.3,155.7333366666667,157.90001,156.2,158.95,161.8,48,92,75.5,152,152,152,131.6,132.200002,133.5,170.8,171.100002,171.6,100,100,100.0,135,135,135,94.1,94.12500125,94.200005,2,5,3.5,44.0,10.45454545454545,72.0,0.0894428309044386,21.2,21.2600002,21.4,0.0836660026534075,16.4,16.48,16.6,0.0,71,71.0,71,0.130383587925398,21.300001,21.3800006,21.6,0.0447213595499957,16.4,16.42,16.5,0.0816496580927726,21.5,21.6,21.7,0.0957421885429824,16.300001,16.3750005,16.5,0.5,71,72,94.73333333333332,37,19,2,38,65.78,86,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
291,4.0,6.0,8.0,5.52,15.86190485714286,23.5,171.0,171.0727272727273,171.3,34,36,35.09090909090909,158.0,158.0909090909091,158.2,164.0,164.1,164.2,27,28,27.18181818181818,155,155,155,156.6,156.6666666666667,156.8,160.6,160.6,160.6,83,85,84.5,155,155,155,132.7,132.780002,132.90001,169.8,170.04,170.2,100,100,100.0,134,134,134,95.9,95.925,96.0,30,30,30.0,48.0,14.02083333333333,79.01666666666667,0.206155281280883,20.9,21.125,21.4,0.0577350269189625,15.6,15.65,15.7,1.0,70,71.5,72,0.0547722557505166,21.4,21.44,21.5,0.0547722557505166,15.6,15.66,15.7,0.1949358868961793,21.6,21.74,22.0,1.230853362509117,15.6,16.2,18.4,2.738612787525831,71,76,100.75,186,2,3,35,32.32,89,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,1
296,4.0,6.0,8.0,5.5,15.87142866666667,23.7,170.3,170.7272754545455,171.1,35,38,36.36363636363636,158.0,158.07,158.2,164.0,164.13,164.3,26,28,27.2,155,155,155,156.6,156.7,156.8,160.7,160.77143,160.90001,84,86,84.85714285714286,155,155,155,132.40001,132.4500075,132.6,169.5,169.6,169.7,100,100,100.0,134,134,134,95.6,95.67500375,95.700005,29,29,29.0,47.0,14.02127659574468,78.0,0.0447213595499957,21.6,21.62,21.7,1.230853362509117,15.6,16.2,18.4,0.4472135954999579,69,69.2,70,0.0547722557505166,21.6,21.66,21.7,0.0447213595499957,15.7,15.72,15.8,0.1,21.4,21.55,21.6,0.05,15.6,15.625,15.7,0.0,71,71,100.9,192,4,3,33,35.67,86,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,0
744,5.0,6.0,13.0,7.0,18.59565230434783,25.6,169.5,169.870002,170.2,26,29,27.6,157.8,157.850003,158.0,164.0,164.0,164.0,29,30,29.6,155,155,155,156.5,156.6,156.7,160.8,160.8714357142857,160.90001,84,86,85.0,155,155,155,132.7,132.8500025,133.0,169.7,169.8000025,169.90001,100,100,100.0,134,134,134,93.9,93.95,94.0,25,25,25.0,46.0,13.5,82.0,0.1632993570108795,22.6,22.76666683333333,23.0,0.1751188168080937,18.300001,18.63333366666667,18.800001,0.4082482904638631,72,72.16666666666667,73,0.0547722557505166,20.9,20.96,21.0,0.0894427190999915,18.4,18.54,18.6,0.0447209123364002,22.300001,22.3200008,22.4,0.1095445115010332,18.5,18.58,18.7,0.4472135954999579,79,80,114.1333333333333,101,1,0,29,72.18,86,False,True,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,0
531,4.0,6.0,11.0,3.5,19.25000018181818,24.2,170.90001,171.200003,171.5,28,31,29.3,157.8,158.100003,158.5,163.6,163.88,164.5,26,29,27.8,155,155,155,156.6,156.8000016666667,157.1,160.2,160.4000016666667,160.7,80,85,83.0,155,155,155,133.3,134.18,135.2,159.90001,161.860006,163.8,80,100,93.8,134,134,134,95.3,95.325,95.4,19,20,19.75,45.0,12.55555555555556,78.0,0.05,22.1,22.125,22.2,0.05,18.5,18.575,18.6,0.5,65,65.75,66,0.0894427190999915,21.4,21.46,21.6,0.1341635569008962,19.300001,19.4400004,19.6,0.122474732089113,22.1,22.2500005,22.4,0.3033148858863783,18.800001,19.10000066666667,19.5,0.5163977794943223,64,65,108.0666666666667,2,1,0,22,58.53,69,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,1
533,3.0,6.0,14.5,5.5,19.66111133333333,24.2,170.6,170.850006,171.0,24,25,24.5,155.3,155.390009,155.40001,162.1,162.370005,162.5,22,23,22.1,152,152,152,154.2,155.283335,156.5,156.8,159.4,161.2,60,87,74.83333333333333,152,152,152,133.0,133.375,134.3,169.90001,169.950005,170.0,100,100,100.0,135,135,135,102.9,103.033335,103.200005,23,26,24.33333333333333,43.0,10.65116279069767,77.0,0.2000005000002083,21.9,22.10000033333333,22.300001,0.0577344495686933,18.800001,18.833334,18.9,0.5773502691896257,65,65.66666666666667,66,0.2121321522075331,21.5,21.7000002,22.0,0.2774888646419889,19.6,19.9800004,20.300001,0.0499995,22.300001,22.37500025,22.4,0.3785939337428912,18.7,19.25000025,19.5,0.957427107756338,63,65,108.1333333333333,5,4,0,22,56.87,68,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,1
884,3.0,6.0,7.0,6.0,18.16315815789474,25.2,167.5,168.4444444444444,170.0,27,37,33.0,155.40001,155.40001,155.40001,162.2,162.360001,162.7,19,20,19.8,152,152,152,155.8,157.0500016666667,157.8,160.90001,161.4833366666667,162.0,48,74,58.5,152,152,152,131.90001,132.660002,133.2,168.1,168.960004,170.1,100,100,100.0,135,135,135,100.1,100.17500375,100.200005,0,0,0.0,44.0,7.022727272727273,71.0,0.35,22.5,22.675,23.2,0.0816496580927726,18.0,18.1,18.2,0.5,71,71.25,72,0.114017410952012,20.7,20.8600002,21.0,0.0836663612224172,18.1,18.1800002,18.300001,0.05,21.9,21.975,22.0,0.1414218276422231,18.0,18.2000005,18.300001,0.5,76,77,118.1,252,1,0,23,39.57,69,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,1
