iter	Passed	Remaining
0	328	222758
1	499	169162
2	646	145799
3	775	131131
4	889	120100
5	1066	11979466	1192	11462477	1319	11087988	1443	109	1499	1580	110	10110	1722	104711111	1883	10412	112	2046	10513	113	2171	1014	2114	2297	115	23115	2471	102586116	2622	102261717	2800	103018	18	2933	10219	219	3093	1020	3120	3200	121	3222122	3366	96123223	3541	96803224	3679	96393225	3854	96958226	4006	96887227	4152	96689
28	4317	96924
29	4508	97679
30	4632	96988
31	4742	96039
32	4864	95381
33	4995	94908334	5108	94134335	5245	93831336	5403	93897337	5585	94362
38	5736	94283
39	5844	93516
40	5967	93008
41	6108	92798
42	6250	92599
43	6371	92099444	6540	92287445	6666	91877446	6807	91681447	6917	91079448	7059	90903449	7230	91102450	7341	90550
51	7438	89828552	7525	89032553	7614	88268554	7690	87389555	7779	86688556	7856	85874557	7937	85121558	8016	84374559	8096	83658560	8183	83038661	8254	82283662	8322	81502663	8398	80831664	8462	80071665	8534	79396666	8601	78696667	8672	7805067	8758	78827
68	8829	78182
69	8904	77598
70	8977	77005
71	9065	76550
72	9139	75993
73	9229	75582
74	9318	75169
75	9402	74728
76	9477	74216
77	9558	73772
78	9629	73259
79	9720	72904
80	9796	72446
81	9868	71970
82	9939	71491
83	10016	71068
84	10093	70654
85	10175	70279
86	10256	69907
87	10329	69488
88	10408	69114
89	10476	68680
90	10556	68328
91	10626	67920
93	10733	66911
94	10836	66729
95	10918	66423
96	11011	66185
97	11081	65810
98	11153	65454
99	11223	65096
100	11312	648521101	11402	646131102	11483	643321103	11566	640601104	11637	637311105	11711	634191106	11791	631461107	11871	62875
108	11950	626011109	12013	622511110	12085	619541111	12160	616691112	12239	614161113	12316	611521114	12395	608991115	12479	606761116	12643	608381117	12719	605781118	12821	604441119	12917	602811120	12990	600141121	13070	59779
122	13137	594921123	13212	59241
124	13288	58999
125	13370	587871126	13445	585461127	13531	583531128	13612	58142
129	13697	57949
130	13772	57717
131	13852	57509
132	13941	57338
133	14011	57092
134	14092	56892
135	14173	56692
136	14263	56532
137	14344	56338
138	14425	56143
139	14513	55979
140	14579	55732
141	14647	55494
142	14718	55272
143	14781	550211144	14848	547851145	14919	545671146	15002	543961147	15075	541901148	15145	539751149	15224	537921150	15296	535861151	15368	533851152	15450	532171153	15530	530451154	15608	528671155	15689	527001156	15756	52486156	15828	52727
157	15902	5159	1158	15983	52374
159	16065	5161	1160	16149	52059
161	16230	51897
162	16307	51723
163	16393	51579
164	16477	51428
165	16568	51303
166	16647	51138
167	16732	50992
168	16798	50793
169	16874	50623
170	16946	50442
171	17033	50307
172	17155	50276
173	17246	50152
174	17324	49992
175	17393	49810
176	17474	49659
177	17554	49508
178	17633	49353
179	17719	49219
180	17790	49047
181	17861	48874
182	17938	48718
183	18012	48556
184	18077	48368
185	18153	48214
186	18241	48090
187	18317	47937
188	18397	47795
189	18477	47652
190	18557	47509
191	18647	47395
192	18732	47267
193	18816	47137
194	18881	46961
195	18958	46814
196	19031	46662
197	19108	46517
198	19191	46386
199	19276	46262
200	19357	46131
201	19433	45986
202	19522	45872
203	19588	45706
204	19674	45588
205	19756	45459
206	19843	45341
207	19925	45216
208	20003	45080
209	20081	44945
210	20152	44793
211	20232	44663
212	20303	44515
213	20378	44375
214	20454	44238
215	20548	44141
216	20618	43992
217	20689	43845
218	20783	43749
219	20862	43621
220	20933	43476
221	21007	43339
222	21077	43195
223	21155	43065
224	21233	42938
225	21316	42820
226	21405	42716
227	21485	42593
228	21561	42463
229	21639	42337
230	21716	42210
231	21786	42070
232	21872	41960
233	21958	41852
234	22046	41747
235	22135	41645
236	22221	41536
237	22318	41448
238	22389	41313
239	22464	41184
240	22550	41078
241	22637	40971
242	22713	40846
243	22797	40736
244	22886	40635
245	22981	40544
246	23063	40431
247	23134	40298
248	23221	40194
249	23291	40061
250	23369	39941
251	23445	39819
252	23527	39709
253	23615	39606
254	23704	39507
255	23779	39384
256	23851	39256
257	23923	39131
258	23998	39009
259	24083	38904
260	24152	38774
261	24212	38629
262	24299	38528
263	24373	38407
264	24444	38281
265	24537	38190
266	24616	38077
267	24693	37960
268	24767	37841
269	24840	37720
270	24908	37592
271	24979	37468
272	25077	37386
273	25160	37280
274	25229	37156
275	25310	37048
276	25382	36928
277	25449	36801
278	25522	36682
279	25600	36572
280	25687	36474
281	25763	36361
282	25852	36267
283	25931	36158
284	26007	36045
285	26084	35934
286	26173	35839
287	26256	35738
288	26331	35624
289	26401	35505
290	26482	35401
291	26561	35294
292	26649	35198
293	26729	35094
294	26809	34988
295	26881	34873
296	26953	34758
297	27028	34646
298	27097	34528
299	27195	34448
300	27287	34358
301	27369	34256
302	27445	34147
303	27529	34050
304	27603	33938
305	27673	33822
306	27744	33709
307	27821	33602
308	27903	33502
309	27981	33397
310	28061	33295
311	28138	33188
312	28210	33077
313	28316	33006
314	28400	32909
315	28466	32790
316	28547	32689
317	28628	32589
318	28697	32476
319	28766	32362
320	28841	32255
321	28926	32160
322	29012	32066
323	29091	31964
324	29165	31858
325	29229	31740
326	29307	31637
327	29388	31538
328	29460	31430
329	29554	31345
330	29647	31260
331	29721	31154
332	29802	31055
333	29877	30950
334	29951	30845
335	30032	30747
336	30114	30651
337	30189	30547
338	30272	30451
339	30358	30358
340	30424	30246
341	30501	30144
342	30588	30053
343	30663	29950
344	30737	29846
345	30824	29755
346	30902	29655
347	30975	29551
348	31044	29443
349	31113	29335
350	31186	29231
351	31270	29138
352	31356	29046
353	31461	28973
354	31539	28874
355	31617	28775
356	31686	28669
357	31767	28572
358	31834	28464
359	31906	28361
360	31972	28252
361	32041	28147
362	32110	28041
